Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
29,42162,1.01,98865.51,8145.6,62401.26,4540.35,23778.3,12423.77,10432.41,922.12,conventional,2015,Louisville
30,42155,1,92345.33,7195.55,58910.38,1622.81,24616.59,11607.93,12647.23,361.43,conventional,2015,Louisville
31,42148,1.05,79567.66,2581.31,55999.82,1616.65,19369.88,10358.52,8634.83,376.53,conventional,2015,Louisville
32,42141,1.2,73537.14,2114.98,48390.37,4737.13,18294.66,8983.07,8235.74,1075.85,conventional,2015,Louisville
33,42134,1.1,85446.43,2278.4,60221.59,606.53,22339.91,9533.88,12740.14,65.89,conventional,2015,Louisville
34,42127,1.03,95550.51,2031.68,66286.54,2641.74,24590.55,8761.52,15348.83,480.2,conventional,2015,Louisville
35,42120,1.21,65742.4,2070.06,42192.26,2780.63,18699.45,9812.43,8286.28,600.74,conventional,2015,Louisville
36,42113,1.01,95959.08,2113.76,62591.27,5341.52,25912.53,19572.82,5205.38,1134.33,conventional,2015,Louisville
37,42106,0.97,88236.19,2761.77,61733.99,340.98,23399.45,19990.04,3351.93,57.48,conventional,2015,Louisville
38,42099,1.08,75626.3,1833.31,49893.14,565.69,23334.16,15903.95,7424.19,6.02,conventional,2015,Louisville
39,42092,1,93802.08,2639.24,64264.48,1117,25781.36,22498.91,3113.19,169.26,conventional,2015,Louisville
40,42085,0.99,95101.27,2464.06,62778.34,7475.66,22383.21,7992.82,12576.61,1813.78,conventional,2015,Louisville
41,42078,1.21,56870.1,2010.14,36582.61,1294.26,16983.09,9906.76,6777.06,299.27,conventional,2015,Louisville
42,42071,1.18,62728.85,2777.27,38415.34,1615.17,19921.07,11944.24,7667.38,309.45,conventional,2015,Louisville
43,42064,1.02,78626.99,1553.83,53158.82,6909.13,17005.21,7537.07,7839.58,1628.56,conventional,2015,Louisville
44,42057,1.01,107443.35,3122.61,77315.21,1217.83,25787.7,9789.94,15762.59,235.17,conventional,2015,Louisville
45,42050,1.13,80537.77,3843.22,50486.3,1394.17,24814.08,11567.45,12926.67,319.96,conventional,2015,Louisville
46,42043,1,87054.02,6359.25,59424.49,1307.44,19962.84,10210.07,9464.13,288.64,conventional,2015,Louisville
47,42036,0.9,125504.98,5378.31,83854.56,5155.25,31116.86,8618.05,21296.75,1202.06,conventional,2015,Louisville
48,42029,1.02,86635.35,2283,63038.53,234.29,21079.53,8875.65,12189,14.88,conventional,2015,Louisville
49,42022,1.06,85580.15,2250.1,63826.82,426.73,19076.5,10228.66,8804.67,43.17,conventional,2015,Louisville
50,42015,1.05,75129.36,2299.74,53313.74,237.88,19278,7964.88,11299.66,13.46,conventional,2015,Louisville
51,42008,0.92,101162.98,1991.63,75090.16,283.88,23797.31,7769.36,16027.95,0,conventional,2015,Louisville
0,42729,1.01,81833.86,1337.84,35234.67,179.74,45081.61,16333.36,28748.25,0,conventional,2016,Louisville
1,42722,1.1,67720.14,1247.68,33646.11,433.53,32392.82,13133.96,19258.86,0,conventional,2016,Louisville
2,42715,0.79,105228.6,1367.94,44377.9,142.37,59340.39,11915.91,47411.82,12.66,conventional,2016,Louisville
3,42708,0.83,127200.91,1234.09,60677.07,664.79,64624.96,11670.33,52954.63,0,conventional,2016,Louisville
4,42701,1.26,57765.51,1047.06,26662.61,141.29,29914.55,10325.65,19588.9,0,conventional,2016,Louisville
5,42694,1.43,59210.76,1429.11,29056.73,159.32,28565.6,11694.68,16870.92,0,conventional,2016,Louisville
6,42687,1.34,64958.65,1469.38,30443.81,215.13,32830.33,11501.96,21328.37,0,conventional,2016,Louisville
7,42680,1.27,70881.52,1606.9,34663.27,236.33,34375.02,9517.5,24857.52,0,conventional,2016,Louisville
8,42673,1.28,70137.79,1769.84,35446.19,162.17,32759.59,7816.19,24943.4,0,conventional,2016,Louisville
9,42666,1.23,75593.36,1616.09,37427.37,314.87,36235.03,10839.29,25395.74,0,conventional,2016,Louisville
10,42659,1.1,81707.99,1538.97,37516.02,282.44,42370.56,11941.35,30429.21,0,conventional,2016,Louisville
11,42652,1.15,78262.36,1705.62,36812.98,328.99,39414.77,11916.09,27498.68,0,conventional,2016,Louisville
12,42645,1.24,75004.32,1351.94,37151.83,487.06,36013.49,12611.79,23401.7,0,conventional,2016,Louisville
13,42638,1.37,75513.07,1967.21,41728.53,413.43,31403.9,13833.11,17570.79,0,conventional,2016,Louisville
14,42631,1.26,87633.41,2114.94,48962.95,565.29,35990.23,13498.21,22492.02,0,conventional,2016,Louisville
15,42624,1.21,90086.4,3359.11,51733.48,634.74,34359.07,13618.85,20735.22,5,conventional,2016,Louisville
16,42617,1.11,82940.98,2682.05,45780.53,769.26,33709.14,14894.92,18599.22,215,conventional,2016,Louisville
17,42610,1.13,82663.2,1887.97,48991.99,614.55,31168.69,15323.61,14585.08,1260,conventional,2016,Louisville
18,42603,1.16,89370.33,1980.35,50039.9,735.71,36614.37,16968.15,19306.22,340,conventional,2016,Louisville
19,42596,1.25,85551.19,2056.05,54112.88,772.12,28610.14,17081.33,11518.81,10,conventional,2016,Louisville
20,42589,1.3,80997.55,3573.85,53453.99,1058.22,22911.49,13895.19,8739.63,276.67,conventional,2016,Louisville
21,42582,1.24,86030.88,2355.37,53669.84,1144.87,28860.8,13632,13603.6,1625.2,conventional,2016,Louisville
22,42575,1.19,95001.32,2352.49,57404,1995.85,33248.98,15345.04,15463.98,2439.96,conventional,2016,Louisville
23,42568,1.13,101963.67,2414.28,60191.48,2110.74,37247.17,14971.4,19863.67,2412.1,conventional,2016,Louisville
24,42561,1.15,94591.67,2784.81,62213.99,2084.03,27508.84,15928.78,8353.96,3226.1,conventional,2016,Louisville
25,42554,1,106600.14,2398.42,64636.42,1810.55,37754.75,18047.85,15818.57,3888.33,conventional,2016,Louisville
26,42547,1.06,98077.6,2762.38,56614.79,3534.27,35166.16,16663.76,15457.04,3045.36,conventional,2016,Louisville
27,42540,1.09,98289.94,2648.74,54424.22,5024.82,36192.16,13083.05,19034.42,4074.69,conventional,2016,Louisville
28,42533,1.16,84926.73,5365.6,50561.08,2495.61,26504.44,14528.1,9635.97,2340.37,conventional,2016,Louisville
29,42526,1.09,99179.74,2153.72,56150.97,9893.38,30981.67,15423.24,12558.7,2999.73,conventional,2016,Louisville
30,42519,0.99,109060.73,2052.33,71648.43,2467.51,32892.46,14675.3,17510.34,706.82,conventional,2016,Louisville
31,42512,0.91,113794.41,2002.85,77719.29,2243.57,31828.7,13628.45,17376.34,823.91,conventional,2016,Louisville
32,42505,0.86,106278.64,2286.09,62308.98,6837.7,34845.87,12021.77,20894.39,1929.71,conventional,2016,Louisville
33,42498,0.86,139475.75,2523.81,87801.48,6925.3,42225.16,12978.51,27788.83,1457.82,conventional,2016,Louisville
34,42491,0.88,128108.76,2499.44,81916.36,3924.47,39768.49,12605.87,26367.49,795.13,conventional,2016,Louisville
35,42484,0.93,92553.22,2116.01,55939.9,3819.11,30678.2,14568.44,15363.33,746.43,conventional,2016,Louisville
36,42477,0.92,95475.44,2120.86,55695.58,9698.99,27960.01,12091.67,13959.35,1908.99,conventional,2016,Louisville
37,42470,0.9,83504.74,1824.57,49692.01,2962.32,29025.84,12371.06,16274.95,379.83,conventional,2016,Louisville
38,42463,0.85,91459.57,2091.16,52626.19,3898.91,32843.31,9614.81,22101.11,1127.39,conventional,2016,Louisville
39,42456,0.89,120080.36,1969.51,74446.68,6188.82,37475.35,12424.3,23482.95,1568.1,conventional,2016,Louisville
40,42449,0.95,123442.1,1893.15,76888.63,6365.83,38294.49,12950.94,23671.52,1672.03,conventional,2016,Louisville
41,42442,1.07,79810.59,1951.19,47340.88,3216.26,27302.26,12899.12,13596.2,806.94,conventional,2016,Louisville
42,42435,1.02,88102.95,2028.6,49580.73,8998.16,27495.46,12369.98,12597.32,2528.16,conventional,2016,Louisville
43,42428,0.94,102196.72,2152.34,63256.87,5795.78,30991.73,11801.35,17869.01,1321.37,conventional,2016,Louisville
44,42421,0.86,114817.03,2368.19,75573.8,2285.79,34589.25,10663.72,23456.23,469.3,conventional,2016,Louisville
45,42414,0.86,124650.69,2921.35,81575.81,3867.4,36286.13,12729.87,22781.44,774.82,conventional,2016,Louisville
46,42407,0.85,148704.27,2805.31,98136.23,10193.62,37569.11,12782.1,22422.61,2364.4,conventional,2016,Louisville
47,42400,0.92,101620.12,2539.14,70021.38,4774.82,24284.78,10918.75,12100.16,1265.87,conventional,2016,Louisville
48,42393,0.89,120304.63,1672.67,72603.22,9688.49,36340.25,14236.98,20197.82,1905.45,conventional,2016,Louisville
49,42386,0.9,83687.48,2202.61,48151.24,2801.8,30531.83,14859.65,14857.11,815.07,conventional,2016,Louisville
50,42379,0.89,99956.44,2088.41,63265.58,2594.82,32007.63,14248.08,17270.79,488.76,conventional,2016,Louisville
51,42372,0.88,116363.51,2673.33,73869.01,6301.38,33519.79,11090.3,20808.69,1620.8,conventional,2016,Louisville
0,43100,0.87,117941.49,26048.65,34289.02,270.75,57333.07,37617.67,19711.15,4.25,conventional,2017,Louisville
1,43093,1.18,80024.09,6596.13,28324.6,217.35,44886.01,23837.75,21035.42,12.84,conventional,2017,Louisville
2,43086,1.07,80191.11,6894.24,28129.43,326.83,44840.61,29455.18,15356.82,28.61,conventional,2017,Louisville
3,43079,1.01,100072.52,6065.04,37048.51,147.89,56811.08,26607.95,30198.81,4.32,conventional,2017,Louisville
4,43072,1.11,108947,2489,52286,530,53643,9238,44403,1,conventional,2017,Louisville
5,43065,1.45,53796,1858,22808,107,29023,10221,18803,0,conventional,2017,Louisville
6,43058,1.18,79284,2182,33869,79,43155,12675,30480,0,conventional,2017,Louisville
7,43051,1.14,100811,3181,43510,86,54034,11788,42246,0,conventional,2017,Louisville
8,43044,1.18,86085.33,3045.35,37125.6,120.44,45793.94,13435.51,32355.55,2.88,conventional,2017,Louisville
9,43037,1.23,102915.21,3751.03,44115.78,56.48,54991.92,13041.14,41950.78,0,conventional,2017,Louisville
10,43030,1.7,62179.04,3538.09,25086.52,33.07,33521.36,13492.32,20029.04,0,conventional,2017,Louisville
11,43023,1.79,60616.52,3403.65,25005.3,68.1,32139.47,12700.01,19439.46,0,conventional,2017,Louisville
12,43016,1.98,52865.97,4093.28,17191.2,71.23,31510.26,11687.9,19822.36,0,conventional,2017,Louisville
13,43009,1.89,62180.5,3158.2,25612,73.49,33336.81,14044.19,19292.62,0,conventional,2017,Louisville
14,43002,1.88,59540.52,2256.64,25575.25,82.79,31625.84,12529.29,19096.55,0,conventional,2017,Louisville
15,42995,1.73,68830.07,2265.55,31173.61,79.54,35311.37,14322.14,20969.23,20,conventional,2017,Louisville
16,42988,1.65,78604.92,2337.33,34553.13,91.41,41623.05,15816.03,25440.35,366.67,conventional,2017,Louisville
17,42981,1.64,80371.08,2707.25,35073.5,133.23,42457.1,16063.17,26038.37,355.56,conventional,2017,Louisville
18,42974,1.62,80466.47,3038.11,33674.56,103.73,43650.07,17157.17,26001.79,491.11,conventional,2017,Louisville
19,42967,1.56,88644.49,2852.34,35594.01,148.97,50049.17,24106.1,25489.74,453.33,conventional,2017,Louisville
20,42960,1.38,93447.51,2736.38,37308.97,121.05,53281.11,27903.99,24543.79,833.33,conventional,2017,Louisville
21,42953,1.3,95140.94,2317.1,37610.34,218,54995.5,29610.66,24173.08,1211.76,conventional,2017,Louisville
22,42946,1.3,90428.76,2384.77,33397.53,133.88,54512.58,29280.49,24102.09,1130,conventional,2017,Louisville
23,42939,1.37,92486.04,2203.65,37670.64,134.13,52477.62,24730.17,26604.12,1143.33,conventional,2017,Louisville
24,42932,1.44,87217.2,3058.87,41177.44,211.13,42769.76,15204.43,26375.34,1189.99,conventional,2017,Louisville
25,42925,1.01,124946.18,2696.41,45861.16,209.51,76179.1,22207.37,53245.65,726.08,conventional,2017,Louisville
26,42918,1.02,113658.98,2605.69,47985.11,340.48,62727.7,23991.67,38397.78,338.25,conventional,2017,Louisville
27,42911,0.97,114003.27,2137.42,43420.23,203.5,68242.12,20546.42,47643.48,52.22,conventional,2017,Louisville
28,42904,1.06,104369.68,2581.61,49620.17,541.77,51626.13,21822.14,29725.7,78.29,conventional,2017,Louisville
29,42897,1.04,112253.93,2251.92,46391.41,159.38,63451.22,17357.08,45674.42,419.72,conventional,2017,Louisville
30,42890,1.06,121602.81,2191.2,48994.64,305.84,70111.13,16752.03,53317.46,41.64,conventional,2017,Louisville
31,42883,1.08,111487.07,2098.77,48808.39,305.78,60274.13,16202.19,44055.13,16.81,conventional,2017,Louisville
32,42876,1.1,104440.16,2090.74,51642.32,225.38,50481.72,14518.52,35959.83,3.37,conventional,2017,Louisville
33,42869,1.27,82244.67,2266.19,37229.4,247.88,42501.2,16236.09,26265.11,0,conventional,2017,Louisville
34,42862,1.06,135486.52,2467.22,57992.66,426.61,74600.03,21513.2,52904.37,182.46,conventional,2017,Louisville
35,42855,1.26,93663.48,2431.03,48499.45,203.94,42529.06,18452.22,23931.06,145.78,conventional,2017,Louisville
36,42848,1.17,93502.86,2091.62,42839.29,236.73,48335.22,16780.79,31343.12,211.31,conventional,2017,Louisville
37,42841,1.22,100089.52,2109.81,47637.85,213.91,50127.95,18406.86,31705.47,15.62,conventional,2017,Louisville
38,42834,1.2,89926.02,2222.25,43333.76,209.34,44160.67,17618.59,26542.08,0,conventional,2017,Louisville
39,42827,1.15,96962.69,2228.91,43114.54,225.38,51393.86,18336.09,33057.77,0,conventional,2017,Louisville
40,42820,1.11,100036.14,2435.42,46979.43,163.77,50457.52,18244.87,32209.26,3.39,conventional,2017,Louisville
41,42813,1.29,74388.06,1883.85,44133.45,213.08,28157.68,17374.52,10768.15,15.01,conventional,2017,Louisville
42,42806,1.18,85005.19,2122.02,42103.02,159.61,40620.54,14085.25,26520.4,14.89,conventional,2017,Louisville
43,42799,0.99,101061.01,1914.78,49340.2,183.87,49622.16,12670.72,36951.44,0,conventional,2017,Louisville
44,42792,0.95,106098.37,2181.83,59928.42,578.39,43409.73,15168.82,28234.42,6.49,conventional,2017,Louisville
45,42785,0.94,94778.79,1979.99,41851.86,159.04,50787.9,13809.65,36841.43,136.82,conventional,2017,Louisville
46,42778,0.75,131965.58,2078.54,58269.96,357.4,71259.68,16002.34,55257.34,0,conventional,2017,Louisville
47,42771,0.91,126829.29,2214.61,74680.7,1046.84,48887.14,19517.27,29368.27,1.6,conventional,2017,Louisville
48,42764,0.94,116309.9,2082.57,55703.27,217.7,58306.36,17307.09,40985.94,13.33,conventional,2017,Louisville
49,42757,0.94,127597.75,2407.87,66870.27,714.26,57605.35,18678.36,38926.99,0,conventional,2017,Louisville
50,42750,1.06,89361.43,2069.09,43683.9,281.29,43327.15,17644.78,25682.37,0,conventional,2017,Louisville
51,42743,0.86,118310.74,2489.41,55251.9,397.86,60171.57,17859.61,42296.4,15.56,conventional,2017,Louisville
52,42736,0.77,110696.17,1692.13,60441.72,643.88,47918.44,12573.63,35198.14,146.67,conventional,2017,Louisville
0,43184,1.04,126662.1,31512.47,24342.6,306.07,70500.96,49898.62,19277.55,1324.79,conventional,2018,Louisville
1,43177,1.02,126213.08,32100.53,23976.21,204.7,69931.64,53034.96,15925.76,970.92,conventional,2018,Louisville
2,43170,1.08,117108.97,26859.44,26636.99,263.3,63349.24,46121.81,16452.99,774.44,conventional,2018,Louisville
3,43163,1.15,97173.74,22840.56,23137.75,219.31,50976.12,32351.06,17796.4,828.66,conventional,2018,Louisville
4,43156,1.13,99580.43,18466.45,25327.67,351.69,55434.62,32907.74,22038.31,488.57,conventional,2018,Louisville
5,43149,1.06,101522.07,21211.55,21287.42,197.27,58825.83,33930.79,24059.49,835.55,conventional,2018,Louisville
6,43142,0.87,130566.55,37508.86,30307.97,307.16,62442.56,42692.52,19050.04,700,conventional,2018,Louisville
7,43135,0.84,169828.77,37164.18,52978,805.93,78880.66,51038.21,27458.2,384.25,conventional,2018,Louisville
8,43128,1.18,96546.56,9754.12,34513.14,262.76,52016.54,31382,20628.88,5.66,conventional,2018,Louisville
9,43121,1.07,119167.18,9137.72,48370.29,699.18,60959.99,34517.5,26442.49,0,conventional,2018,Louisville
10,43114,1.15,121812.81,12826.43,44061.69,168.9,64755.79,32059.16,32693.81,2.82,conventional,2018,Louisville
11,43107,1,118958.8,29241.59,37772.39,170.77,51774.05,32655.63,19115.6,2.82,conventional,2018,Louisville
0,42365,1.82,862.59,9.98,690.02,0,162.59,60,102.59,0,organic,2015,Louisville
1,42358,1.8,924.46,33.57,833.02,0,57.87,13.33,44.54,0,organic,2015,Louisville
2,42351,1.52,1111.9,28.91,798.1,0,284.89,0,284.89,0,organic,2015,Louisville
3,42344,1.19,1391.25,15.13,868.57,0,507.55,0,507.55,0,organic,2015,Louisville
4,42337,1.19,1491.28,34.6,805.09,0,651.59,0,651.59,0,organic,2015,Louisville
5,42330,1.87,1202.46,7.6,1107.08,0,87.78,3.33,84.45,0,organic,2015,Louisville
6,42323,1.83,1155.99,2.54,1014.34,0,139.11,106.67,32.44,0,organic,2015,Louisville
7,42316,1.68,1272.64,43.28,894.97,0,334.39,153.33,181.06,0,organic,2015,Louisville
8,42309,1.65,1156.12,48.5,835.97,0,271.65,43.33,228.32,0,organic,2015,Louisville
9,42302,1.64,1779.45,69.06,1631.97,0,78.42,0,78.42,0,organic,2015,Louisville
10,42295,1.52,1696.6,20.5,1442.52,0,233.58,0,233.58,0,organic,2015,Louisville
11,42288,1.65,1243.4,11.54,988.31,0,243.55,0,243.55,0,organic,2015,Louisville
12,42281,1.87,1155.28,23.52,1114.66,0,17.1,0,17.1,0,organic,2015,Louisville
13,42274,1.79,1602.79,24.36,1309.08,0,269.35,206.67,62.68,0,organic,2015,Louisville
14,42267,1.65,1974.52,40.99,1268.23,0,665.3,423.33,241.97,0,organic,2015,Louisville
15,42260,1.69,1858.03,44.79,1311.84,0,501.4,286.67,214.73,0,organic,2015,Louisville
16,42253,1.38,2450.75,52.43,1262.12,0,1136.2,440,696.2,0,organic,2015,Louisville
17,42246,1.44,2648.03,58.75,1634.78,0,954.5,273.34,681.16,0,organic,2015,Louisville
18,42239,1.49,2726.65,42.08,1625.92,0,1058.65,256.67,801.98,0,organic,2015,Louisville
19,42232,1.52,2495.29,3.82,1866.45,0,625.02,243.33,381.69,0,organic,2015,Louisville
20,42225,1.37,3003.82,2.54,2116.56,0,884.72,400,484.72,0,organic,2015,Louisville
21,42218,1.37,2477.04,4,1786.74,0,686.3,36.67,649.63,0,organic,2015,Louisville
22,42211,1.03,2995.57,0,1295.04,0,1700.53,40,1660.53,0,organic,2015,Louisville
23,42204,1.18,2680.01,0,1436.55,0,1243.46,53.33,1190.13,0,organic,2015,Louisville
24,42197,1.48,2290.3,7.54,1486.26,0,796.5,70,726.5,0,organic,2015,Louisville
25,42190,1.49,2117.32,0,1260.34,0,856.98,246.67,610.31,0,organic,2015,Louisville
26,42183,1.49,1744.67,8.76,1260.31,0,475.6,233.33,242.27,0,organic,2015,Louisville
27,42176,1.46,2344.24,18.73,1652.88,0,672.63,224.99,447.64,0,organic,2015,Louisville
28,42169,1.58,2093.17,17.42,1174.85,0,900.9,415.53,485.37,0,organic,2015,Louisville
29,42162,1.24,2299.74,14.16,972.02,0,1313.56,437.41,876.15,0,organic,2015,Louisville
30,42155,1.34,2103.36,8.65,1031.77,0,1062.94,370.98,691.96,0,organic,2015,Louisville
31,42148,1.51,2285.46,3.69,1340.14,0,941.63,438.45,503.18,0,organic,2015,Louisville
32,42141,1.44,2132.11,2.46,1335.83,0,793.82,458.25,335.57,0,organic,2015,Louisville
33,42134,1.04,3355.53,12.58,1328.8,0,2014.15,390,1624.15,0,organic,2015,Louisville
34,42127,1.38,2038.99,1.22,829.5,0,1208.27,463.33,744.94,0,organic,2015,Louisville
35,42120,1.67,1764.81,1.22,1045.34,0,718.25,373.33,344.92,0,organic,2015,Louisville
36,42113,1.37,1687.21,0,914.76,0,772.45,246.67,525.78,0,organic,2015,Louisville
37,42106,1.42,1294.45,8.84,799.87,0,485.74,263.35,222.39,0,organic,2015,Louisville
38,42099,1.59,1517.39,4.82,896.16,0,616.41,330,286.41,0,organic,2015,Louisville
39,42092,1.63,1219.02,0,685.41,0,533.61,279.31,254.3,0,organic,2015,Louisville
40,42085,1.76,1030.98,10.75,746.35,0,273.88,113.33,160.55,0,organic,2015,Louisville
41,42078,1.65,1664.74,8.34,731.35,0,925.05,796.67,128.38,0,organic,2015,Louisville
42,42071,1.72,1541.79,2.38,912.87,0,626.54,532.64,93.9,0,organic,2015,Louisville
43,42064,1.65,1510.75,0,1077.97,0,432.78,213.33,219.45,0,organic,2015,Louisville
44,42057,1.67,1347.62,14.29,658.47,0,674.86,443.33,231.53,0,organic,2015,Louisville
45,42050,1.75,1201.07,12.71,745.28,0,443.08,326.67,116.41,0,organic,2015,Louisville
46,42043,1.61,1438.14,13.52,823.66,0,600.96,393.33,207.63,0,organic,2015,Louisville
47,42036,1.55,1336.46,0,772.41,0,564.05,303.33,260.72,0,organic,2015,Louisville
48,42029,1.68,1201.46,3.57,740.48,0,457.41,216.67,240.74,0,organic,2015,Louisville
49,42022,1.79,1106.86,5.19,676.38,0,425.29,420,5.29,0,organic,2015,Louisville
50,42015,1.79,1435.48,0,1219.02,0,216.46,173.93,42.53,0,organic,2015,Louisville
51,42008,1.48,1395.75,12.41,824.64,0,558.7,478.15,80.55,0,organic,2015,Louisville
0,42729,1.53,1619.79,16.42,910.47,0,692.9,406.67,286.23,0,organic,2016,Louisville
1,42722,1.23,2237.49,2.53,928.65,0,1306.31,433.33,872.98,0,organic,2016,Louisville
2,42715,1.16,1887.69,0,710.07,0,1177.62,363.34,814.28,0,organic,2016,Louisville
3,42708,1.28,2391.74,4,997.83,0,1389.91,396.67,993.24,0,organic,2016,Louisville
4,42701,1.26,3129.1,1.25,987.17,0,2140.68,566.67,1574.01,0,organic,2016,Louisville
5,42694,0.93,4880.21,6.76,1278.83,0,3594.62,613.33,2981.29,0,organic,2016,Louisville
6,42687,0.94,4559.57,0,1210.46,0,3349.11,410.56,2938.55,0,organic,2016,Louisville
7,42680,1.17,4143.28,0,1735.86,0,2407.42,343.34,2064.08,0,organic,2016,Louisville
8,42673,1.82,2038.12,1.27,1696.28,0,340.57,196.67,143.9,0,organic,2016,Louisville
9,42666,1.03,3422.91,5.11,1408.29,0,2009.51,126.67,1882.84,0,organic,2016,Louisville
10,42659,1.24,2470.03,12.88,1256.9,0,1200.25,170,1030.25,0,organic,2016,Louisville
11,42652,1.08,4017.83,0,1676,0,2341.83,273.33,2068.5,0,organic,2016,Louisville
12,42645,1.87,1610.43,4,1353.25,0,253.18,226.67,26.51,0,organic,2016,Louisville
13,42638,1.81,1727.77,0,1385.64,0,342.13,263.34,78.79,0,organic,2016,Louisville
14,42631,1.31,2194.01,5.22,1254.23,0,934.56,80,854.56,0,organic,2016,Louisville
15,42624,1.07,3778.51,1.31,1380.08,0,2397.12,310,2087.12,0,organic,2016,Louisville
16,42617,1.04,4804.36,1.31,1791.76,0,3011.29,353.33,2657.96,0,organic,2016,Louisville
17,42610,1.23,3998.13,7.91,2027.99,0,1962.23,460,1502.23,0,organic,2016,Louisville
18,42603,1.53,3132.72,18.62,2366.87,0,747.23,443.33,303.9,0,organic,2016,Louisville
19,42596,1.59,3017.94,0,2276.44,0,741.5,300,441.5,0,organic,2016,Louisville
20,42589,1.32,3614.21,1.33,1449.64,0,2163.24,866.67,1296.57,0,organic,2016,Louisville
21,42582,1.3,3887.95,2.68,1677.47,0,2207.8,676.67,1531.13,0,organic,2016,Louisville
22,42575,1.8,2109.9,2.68,1508.95,0,598.27,336.67,261.6,0,organic,2016,Louisville
23,42568,1.26,2918.73,6.67,1366.68,0,1545.38,210,1335.38,0,organic,2016,Louisville
24,42561,1.25,3026.31,5.33,1700.78,0,1320.2,166.67,1153.53,0,organic,2016,Louisville
25,42554,1.05,3479.9,0,1644.42,0,1835.48,133.33,1702.15,0,organic,2016,Louisville
26,42547,1.24,3244.63,0,1754.77,0,1489.86,123.33,1366.53,0,organic,2016,Louisville
27,42540,0.85,5739.09,3,2053.24,0,3682.85,150,3532.85,0,organic,2016,Louisville
